model_type,name,s1_train_sec,s2_train_sec,target_scam,target_topic,thr_scam,thr_topic,calib_scam_fpr,calib_topic_fpr,holdout_scam_precision,holdout_scam_recall,holdout_scam_fpr,holdout_topic_precision,holdout_topic_recall,holdout_topic_fpr,holdout_micro_f1,holdout_macro_f1,holdout_exact
two_stage,s1_char__s2_char,4.88,7.43,0.02,0.03,0.8774868249893188,0.8311530351638794,0.01818181818181818,0.02702702702702703,0.8857142857142857,0.62,0.024390243902439025,0.8974358974358975,0.6862745098039216,0.07142857142857142,0.7975460122699386,0.7821584189231249,0.7289719626168224
two_stage,s1_char__s2_char,4.88,7.43,0.02,0.1,0.8774868249893188,0.59267657995224,0.01818181818181818,0.08108108108108109,0.8857142857142857,0.62,0.024390243902439025,0.8526315789473684,0.7941176470588235,0.125,0.8194726166328601,0.8016091196023241,0.7476635514018691
two_stage,s1_char__s2_char,4.88,7.43,0.02,0.2,0.8774868249893188,0.1520422399044037,0.01818181818181818,0.15315315315315314,0.8857142857142857,0.62,0.024390243902439025,0.7899159663865546,0.9215686274509803,0.22321428571428573,0.8256513026052104,0.8064895786931752,0.7570093457943925
two_stage,s1_char__s2_char,4.88,7.43,0.05,0.03,0.3140605390071869,0.8311530351638794,0.048484848484848485,0.02702702702702703,0.8333333333333334,0.7,0.042682926829268296,0.8974358974358975,0.6862745098039216,0.07142857142857142,0.7983706720977597,0.7898991904352238,0.7289719626168224
two_stage,s1_char__s2_char,4.88,7.43,0.05,0.1,0.3140605390071869,0.59267657995224,0.048484848484848485,0.08108108108108109,0.8333333333333334,0.7,0.042682926829268296,0.8526315789473684,0.7941176470588235,0.125,0.8202020202020203,0.8092882615909532,0.7476635514018691
two_stage,s1_char__s2_char,4.88,7.43,0.05,0.2,0.3140605390071869,0.1520422399044037,0.048484848484848485,0.15315315315315314,0.8333333333333334,0.7,0.042682926829268296,0.7899159663865546,0.9215686274509803,0.22321428571428573,0.8270377733598409,0.8143757485391623,0.7663551401869159
two_stage,s1_char__s2_char,4.88,7.43,0.08,0.03,0.3140605390071869,0.8311530351638794,0.048484848484848485,0.02702702702702703,0.8333333333333334,0.7,0.042682926829268296,0.8974358974358975,0.6862745098039216,0.07142857142857142,0.7983706720977597,0.7898991904352238,0.7289719626168224
two_stage,s1_char__s2_char,4.88,7.43,0.08,0.1,0.3140605390071869,0.59267657995224,0.048484848484848485,0.08108108108108109,0.8333333333333334,0.7,0.042682926829268296,0.8526315789473684,0.7941176470588235,0.125,0.8202020202020203,0.8092882615909532,0.7476635514018691
two_stage,s1_char__s2_char,4.88,7.43,0.08,0.2,0.3140605390071869,0.1520422399044037,0.048484848484848485,0.15315315315315314,0.8333333333333334,0.7,0.042682926829268296,0.7899159663865546,0.9215686274509803,0.22321428571428573,0.8270377733598409,0.8143757485391623,0.7663551401869159
two_stage,s1_char__s2_char,4.88,7.43,0.1,0.03,0.3140605390071869,0.8311530351638794,0.048484848484848485,0.02702702702702703,0.8333333333333334,0.7,0.042682926829268296,0.8974358974358975,0.6862745098039216,0.07142857142857142,0.7983706720977597,0.7898991904352238,0.7289719626168224
two_stage,s1_char__s2_char,4.88,7.43,0.1,0.1,0.3140605390071869,0.59267657995224,0.048484848484848485,0.08108108108108109,0.8333333333333334,0.7,0.042682926829268296,0.8526315789473684,0.7941176470588235,0.125,0.8202020202020203,0.8092882615909532,0.7476635514018691
two_stage,s1_char__s2_char,4.88,7.43,0.1,0.2,0.3140605390071869,0.1520422399044037,0.048484848484848485,0.15315315315315314,0.8333333333333334,0.7,0.042682926829268296,0.7899159663865546,0.9215686274509803,0.22321428571428573,0.8270377733598409,0.8143757485391623,0.7663551401869159
two_stage,s1_nochar__s2_char,2.79,4.26,0.02,0.03,0.7879412174224854,0.812877357006073,0.012121212121212121,0.02702702702702703,0.8571428571428571,0.6,0.03048780487804878,0.8987341772151899,0.696078431372549,0.07142857142857142,0.7893660531697342,0.7718416157682754,0.7242990654205608
two_stage,s1_nochar__s2_char,2.79,4.26,0.02,0.1,0.7879412174224854,0.4921981394290924,0.012121212121212121,0.0990990990990991,0.8571428571428571,0.6,0.03048780487804878,0.8367346938775511,0.803921568627451,0.14285714285714285,0.8065173116089613,0.7869446030839521,0.7383177570093458
two_stage,s1_nochar__s2_char,2.79,4.26,0.02,0.2,0.7879412174224854,0.16886694729328156,0.012121212121212121,0.15315315315315314,0.8571428571428571,0.6,0.03048780487804878,0.7899159663865546,0.9215686274509803,0.22321428571428573,0.819277108433735,0.7966314731020613,0.7570093457943925
two_stage,s1_nochar__s2_char,2.79,4.26,0.05,0.03,0.08757384121417999,0.812877357006073,0.048484848484848485,0.02702702702702703,0.7551020408163265,0.74,0.07317073170731707,0.8987341772151899,0.696078431372549,0.07142857142857142,0.7975708502024291,0.787926945049886,0.719626168224299
two_stage,s1_nochar__s2_char,2.79,4.26,0.05,0.1,0.08757384121417999,0.4921981394290924,0.048484848484848485,0.0990990990990991,0.7551020408163265,0.74,0.07317073170731707,0.8367346938775511,0.803921568627451,0.14285714285714285,0.809619238476954,0.7991582491582491,0.7289719626168224
two_stage,s1_nochar__s2_char,2.79,4.26,0.05,0.2,0.08757384121417999,0.16886694729328156,0.048484848484848485,0.15315315315315314,0.7551020408163265,0.74,0.07317073170731707,0.7899159663865546,0.9215686274509803,0.22321428571428573,0.8212180746561885,0.807850101967749,0.7523364485981309
