model_type,name,train_sec,quant_sec,ftz_path,ftz_kb,target_scam,target_topic,thr_scam,thr_topic,calib_scam_fpr,calib_topic_fpr,holdout_scam_precision,holdout_scam_recall,holdout_scam_fpr,holdout_topic_precision,holdout_topic_recall,holdout_topic_fpr,holdout_micro_f1,holdout_macro_f1,holdout_exact
single,single_char_ng2,4.74,1.18,/tmp/janitr_postsplit_bakeoff/single_char_ng2.ftz,158.3,0.02,0.1,0.053413331508636475,0.7826725244522095,0.01818181818181818,0.08108108108108109,0.8333333333333334,0.7,0.042682926829268296,0.8514851485148515,0.8431372549019608,0.13392857142857142,0.8300395256916996,0.8172540337820259,0.7757009345794392
single,single_nochar_ng2,1.21,1.16,/tmp/janitr_postsplit_bakeoff/single_nochar_ng2.ftz,165.9,0.02,0.1,0.9669240117073059,0.8634016513824463,0.006060606060606061,0.09009009009009009,0.8571428571428571,0.6,0.03048780487804878,0.8791208791208791,0.7843137254901961,0.09821428571428571,0.8072289156626505,0.7873902080851183,0.7476635514018691
single,single_char_ng1,4.33,1.21,/tmp/janitr_postsplit_bakeoff/single_char_ng1.ftz,158.3,0.02,0.1,0.21734751760959625,0.7826725244522095,0.01818181818181818,0.07207207207207207,0.825,0.66,0.042682926829268296,0.8461538461538461,0.8627450980392157,0.14285714285714285,0.8316831683168316,0.8131256355068311,0.7757009345794392
