target_scam,target_topic,thr_scam,thr_topic,holdout_scam_precision,holdout_scam_recall,holdout_scam_fpr,holdout_topic_precision,holdout_topic_recall,holdout_topic_fpr,holdout_micro_f1,holdout_macro_f1,holdout_exact,calib_scam_fpr,calib_topic_fpr
0.01,0.2,1.0,0.0005457804654724896,0.7916666666666666,0.5588235294117647,0.09375,0.8484848484848485,0.33532934131736525,0.10526315789473684,0.620472440944882,0.6242337381117437,0.46564885496183206,1.0,0.15555555555555556
0.02,0.2,1.0,0.0005457804654724896,0.7916666666666666,0.5588235294117647,0.09375,0.8484848484848485,0.33532934131736525,0.10526315789473684,0.620472440944882,0.6242337381117437,0.46564885496183206,1.0,0.15555555555555556
0.03,0.2,1.0,0.0005457804654724896,0.7916666666666666,0.5588235294117647,0.09375,0.8484848484848485,0.33532934131736525,0.10526315789473684,0.620472440944882,0.6242337381117437,0.46564885496183206,1.0,0.15555555555555556
0.05,0.2,1.0,0.0005457804654724896,0.7916666666666666,0.5588235294117647,0.09375,0.8484848484848485,0.33532934131736525,0.10526315789473684,0.620472440944882,0.6242337381117437,0.46564885496183206,1.0,0.15555555555555556
0.08,0.2,1.0,0.0005457804654724896,0.7916666666666666,0.5588235294117647,0.09375,0.8484848484848485,0.33532934131736525,0.10526315789473684,0.620472440944882,0.6242337381117437,0.46564885496183206,1.0,0.15555555555555556
0.1,0.2,1.0,0.0005457804654724896,0.7916666666666666,0.5588235294117647,0.09375,0.8484848484848485,0.33532934131736525,0.10526315789473684,0.620472440944882,0.6242337381117437,0.46564885496183206,1.0,0.15555555555555556
0.15,0.2,1.0,0.0005457804654724896,0.7916666666666666,0.5588235294117647,0.09375,0.8484848484848485,0.33532934131736525,0.10526315789473684,0.620472440944882,0.6242337381117437,0.46564885496183206,1.0,0.15555555555555556
0.01,0.15,1.0,0.0017107223393395543,0.7916666666666666,0.5588235294117647,0.09375,0.864406779661017,0.30538922155688625,0.08421052631578947,0.612954186413902,0.6148990907713753,0.4618320610687023,1.0,0.13333333333333333
0.02,0.15,1.0,0.0017107223393395543,0.7916666666666666,0.5588235294117647,0.09375,0.864406779661017,0.30538922155688625,0.08421052631578947,0.612954186413902,0.6148990907713753,0.4618320610687023,1.0,0.13333333333333333
0.03,0.15,1.0,0.0017107223393395543,0.7916666666666666,0.5588235294117647,0.09375,0.864406779661017,0.30538922155688625,0.08421052631578947,0.612954186413902,0.6148990907713753,0.4618320610687023,1.0,0.13333333333333333
0.05,0.15,1.0,0.0017107223393395543,0.7916666666666666,0.5588235294117647,0.09375,0.864406779661017,0.30538922155688625,0.08421052631578947,0.612954186413902,0.6148990907713753,0.4618320610687023,1.0,0.13333333333333333
0.08,0.15,1.0,0.0017107223393395543,0.7916666666666666,0.5588235294117647,0.09375,0.864406779661017,0.30538922155688625,0.08421052631578947,0.612954186413902,0.6148990907713753,0.4618320610687023,1.0,0.13333333333333333
0.1,0.15,1.0,0.0017107223393395543,0.7916666666666666,0.5588235294117647,0.09375,0.864406779661017,0.30538922155688625,0.08421052631578947,0.612954186413902,0.6148990907713753,0.4618320610687023,1.0,0.13333333333333333
0.15,0.15,1.0,0.0017107223393395543,0.7916666666666666,0.5588235294117647,0.09375,0.864406779661017,0.30538922155688625,0.08421052631578947,0.612954186413902,0.6148990907713753,0.4618320610687023,1.0,0.13333333333333333
0.01,0.1,1.0,0.26285186409950256,0.7916666666666666,0.5588235294117647,0.09375,1.0,0.19161676646706588,0.0,0.5818759936406995,0.5703851513313695,0.44656488549618323,1.0,0.08888888888888889
0.02,0.1,1.0,0.26285186409950256,0.7916666666666666,0.5588235294117647,0.09375,1.0,0.19161676646706588,0.0,0.5818759936406995,0.5703851513313695,0.44656488549618323,1.0,0.08888888888888889
0.03,0.1,1.0,0.26285186409950256,0.7916666666666666,0.5588235294117647,0.09375,1.0,0.19161676646706588,0.0,0.5818759936406995,0.5703851513313695,0.44656488549618323,1.0,0.08888888888888889
0.05,0.1,1.0,0.26285186409950256,0.7916666666666666,0.5588235294117647,0.09375,1.0,0.19161676646706588,0.0,0.5818759936406995,0.5703851513313695,0.44656488549618323,1.0,0.08888888888888889
0.08,0.1,1.0,0.26285186409950256,0.7916666666666666,0.5588235294117647,0.09375,1.0,0.19161676646706588,0.0,0.5818759936406995,0.5703851513313695,0.44656488549618323,1.0,0.08888888888888889
0.1,0.1,1.0,0.26285186409950256,0.7916666666666666,0.5588235294117647,0.09375,1.0,0.19161676646706588,0.0,0.5818759936406995,0.5703851513313695,0.44656488549618323,1.0,0.08888888888888889
0.15,0.1,1.0,0.26285186409950256,0.7916666666666666,0.5588235294117647,0.09375,1.0,0.19161676646706588,0.0,0.5818759936406995,0.5703851513313695,0.44656488549618323,1.0,0.08888888888888889
0.01,0.08,1.0,0.4843900501728058,0.7916666666666666,0.5588235294117647,0.09375,1.0,0.16167664670658682,0.0,0.5659777424483307,0.5512764808889942,0.4312977099236641,1.0,0.06666666666666667
0.02,0.08,1.0,0.4843900501728058,0.7916666666666666,0.5588235294117647,0.09375,1.0,0.16167664670658682,0.0,0.5659777424483307,0.5512764808889942,0.4312977099236641,1.0,0.06666666666666667
0.03,0.08,1.0,0.4843900501728058,0.7916666666666666,0.5588235294117647,0.09375,1.0,0.16167664670658682,0.0,0.5659777424483307,0.5512764808889942,0.4312977099236641,1.0,0.06666666666666667
0.05,0.08,1.0,0.4843900501728058,0.7916666666666666,0.5588235294117647,0.09375,1.0,0.16167664670658682,0.0,0.5659777424483307,0.5512764808889942,0.4312977099236641,1.0,0.06666666666666667
